City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,Uyemskiy,22.5667,59.5289,298.93,42,0,2.42,OM,2022-03-11 01:18:49
100,Uyemskiy,34.3833,131.2,286.91,54,100,3.08,JP,2022-03-11 01:18:49
101,Uyemskiy,13.6393,4.0287,300.4,15,30,4.64,NE,2022-03-11 01:18:50
102,Uyemskiy,72.7868,-56.1549,247.27,99,37,1.32,GL,2022-03-11 01:18:50
103,Uyemskiy,31.3705,119.8703,290.67,67,19,1.86,CN,2022-03-11 01:18:51
104,Uyemskiy,65.75,150.85,256.13,92,100,1.94,RU,2022-03-11 01:18:52
105,Uyemskiy,67.45,153.6833,257.93,91,100,1.48,RU,2022-03-11 01:18:52
106,Uyemskiy,71.9667,102.5,241.7,100,100,2.36,RU,2022-03-11 01:18:53
107,Uyemskiy,62.456,-114.3525,253.94,67,20,2.06,CA,2022-03-11 01:18:53
108,Uyemskiy,57.79,-152.4072,278.88,87,100,3.6,US,2022-03-11 01:18:54
109,Uyemskiy,-5.2246,145.7966,303.74,61,20,0.95,PG,2022-03-11 01:18:54
110,Uyemskiy,19.3833,74.65,296.05,49,6,1.32,IN,2022-03-11 01:18:55
111,Uyemskiy,-5.1989,-35.4608,300.47,75,100,6.05,BR,2022-03-11 01:18:56
112,Uyemskiy,19.7297,-155.09,300.51,77,75,5.66,US,2022-03-11 01:14:11
113,Uyemskiy,63.6023,53.8817,256.79,93,10,3.57,RU,2022-03-11 01:18:56
114,Uyemskiy,42.25,-2.5,278.03,78,100,3.16,ES,2022-03-11 01:18:57
115,Uyemskiy,-30.1811,-50.2056,296.54,87,100,1.78,BR,2022-03-11 01:18:58
116,Uyemskiy,-20.4081,57.7,299.31,89,40,1.54,MU,2022-03-11 01:18:58
117,Uyemskiy,36.2083,-115.9839,283.29,13,0,8.05,US,2022-03-11 01:18:23
118,Uyemskiy,-21.3585,55.7679,297.92,84,39,3.84,RE,2022-03-11 01:18:59
119,Uyemskiy,12.1791,125.5072,299.79,88,97,4.8,PH,2022-03-11 01:19:00
120,Uyemskiy,34.6391,-120.4579,294.33,58,0,6.71,US,2022-03-11 01:19:00
121,Uyemskiy,54.6333,-8.45,279.85,80,100,11.15,IE,2022-03-11 01:19:01
122,Uyemskiy,36.2126,57.6819,288.47,56,100,1.3,IR,2022-03-11 01:19:02
123,Uyemskiy,-2.0031,-49.8544,296.45,98,100,1.38,BR,2022-03-11 01:19:03
124,Uyemskiy,-19.9833,23.4167,292.97,63,98,2.8,BW,2022-03-11 01:19:04
125,Uyemskiy,-5.51,22.2667,293.27,86,100,0.9,CD,2022-03-11 01:19:05
126,Uyemskiy,32.5341,20.5791,284.29,59,39,6.05,LY,2022-03-11 01:19:05
127,Uyemskiy,-41.8697,-73.8203,287.16,91,12,1.72,CL,2022-03-11 01:19:06
128,Uyemskiy,-2.5447,14.7533,292.37,90,100,0.63,CG,2022-03-11 01:19:06
129,Uyemskiy,30.5092,117.0506,293.29,57,5,1.0,CN,2022-03-11 01:19:07
130,Uyemskiy,12.5847,-81.7006,300.16,78,75,3.09,CO,2022-03-11 01:19:08
131,Uyemskiy,36.2941,8.7666,279.53,87,20,2.06,TN,2022-03-11 01:19:09
132,Uyemskiy,-16.9167,145.7667,307.65,60,100,2.57,AU,2022-03-11 01:17:53
133,Uyemskiy,-28.55,16.4333,295.45,73,53,1.48,NA,2022-03-11 01:19:10
134,Uyemskiy,-16.5167,-151.75,300.5,71,22,4.68,PF,2022-03-11 01:19:10
135,Uyemskiy,56.8487,41.3883,261.49,98,96,0.71,RU,2022-03-11 01:19:11
136,Uyemskiy,69.4541,-133.0374,245.15,76,40,3.09,CA,2022-03-11 01:19:12
137,Uyemskiy,30.4833,-115.95,288.28,76,33,7.18,MX,2022-03-11 01:19:12
138,Uyemskiy,31.5604,-91.4032,287.84,54,0,2.06,US,2022-03-11 01:17:19
139,Uyemskiy,61.9875,5.1352,282.52,44,7,8.33,NO,2022-03-11 01:20:13
140,Uyemskiy,-29.4111,-66.8507,293.99,61,54,1.45,AR,2022-03-11 01:20:01
141,Uyemskiy,-16.4833,-151.75,300.5,71,22,4.66,PF,2022-03-11 01:20:14
142,Uyemskiy,22.8909,-109.9124,293.99,53,20,5.66,MX,2022-03-11 01:20:15
143,Uyemskiy,-0.7393,-90.3518,299.01,91,91,1.96,EC,2022-03-11 01:15:24
144,Uyemskiy,-43.3002,-65.1023,288.06,62,0,5.42,AR,2022-03-11 01:20:15
145,Uyemskiy,0.6,-80.0333,298.45,86,97,0.63,EC,2022-03-11 01:20:17
146,Uyemskiy,17.7626,121.7277,297.9,83,96,0.79,PH,2022-03-11 01:20:17
147,Uyemskiy,64.8621,11.2373,277.81,77,100,7.28,NO,2022-03-11 01:20:18
148,Uyemskiy,8.5,-82.4333,298.38,78,40,1.54,PA,2022-03-11 01:20:18
149,Uyemskiy,62.2266,-6.589,279.66,85,67,12.38,FO,2022-03-11 01:20:19
