City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
74,Capela do Alto,BR,297.67,scattered clouds,-23.4706,-47.7347,Pousada Central
75,Castelo do Piauí,BR,297.29,broken clouds,-5.3222,-41.5525,Nobre Hotel
79,Ikot Ekpene,NG,300.55,scattered clouds,5.1794,7.7108,Prespter Royal Dutch
81,Avarua,CK,301.18,scattered clouds,-21.2078,-159.775,Paradise Inn
84,Boa Vista,BR,301.14,light rain,2.8197,-60.6733,Aipana Plaza Hotel
90,Alofi,NU,302.09,broken clouds,-19.0595,-169.9187,Taloa Heights
92,Pemangkat,ID,298.2,overcast clouds,1.1667,108.9667,Ramah Kost KITA
93,Lālmohan,BD,297.26,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
100,‘Āhuimanu,US,300.29,broken clouds,21.4447,-157.8378,Paradise Bay Resort
108,Touros,BR,300.16,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
114,Santa Marta,CO,303.65,few clouds,11.2408,-74.199,Hotel La Ballena Azul
116,Cayenne,GF,299.87,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
117,Santa Maria,BR,299.76,scattered clouds,-29.6842,-53.8069,Hotel Morotin
120,Porto Walter,BR,299.78,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
122,Khipro,PK,297.32,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
123,Mount Isa,AU,302.02,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
135,Faanui,PF,300.89,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Kupang,ID,299.23,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
138,Moranbah,AU,297.77,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
142,Mahébourg,MU,298.85,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
143,Mulchén,CL,297.07,scattered clouds,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
145,Souillac,MU,298.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
146,Vaitape,PF,300.9,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
149,Meulaboh,ID,297.62,light rain,4.1363,96.1285,Kost Pria
155,Moindou,NC,300.79,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
156,Sola,VU,298.7,moderate rain,-13.8833,167.55,Leumerus Bungalows
159,Bandarbeyla,SO,298.01,clear sky,9.4942,50.8122,JABIR HOTEL
160,Mozarlândia,BR,298.07,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
161,Mayumba,GA,299.37,light rain,-3.432,10.6554,LIKWALE LODGE
163,Kavieng,PG,302.7,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
167,Lorengau,PG,302.84,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
170,Mumford,GH,300.56,scattered clouds,5.2618,-0.759,Spanish Villa
180,Saint-Philippe,RE,297.92,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
190,Bullhead City,US,302.51,clear sky,35.1478,-114.5683,Harrah's Laughlin
195,Dingle,PH,299.39,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
196,Arraial do Cabo,BR,299.13,clear sky,-22.9661,-42.0278,Pousada Porto Praia
198,Charters Towers,AU,299.06,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
201,Santa Cruz de la Sierra,BO,303.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
202,Port-Gentil,GA,300.75,light rain,-0.7193,8.7815,Fengshui Residence
203,Beberibe,BR,298.79,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
206,San Patricio,US,300.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
209,Palu,ID,298.01,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
210,San Jose,US,297.98,clear sky,37.3394,-121.895,The Westin San Jose
212,Salinas,US,298.46,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
214,Quatre Cocos,MU,298.76,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
216,Tamandaré,BR,299.51,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
219,Ambilobe,MG,297.46,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
230,Daru,PG,300.4,overcast clouds,-9.0763,143.2092,Daru Lodge
