City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
226,Chumikan,54.7183,135.315,263.28,94,100,2.87,RU,2022-03-18 23:00:42,light snow
227,Pringsewu,-5.3582,104.9744,295.91,99,100,0.5,ID,2022-03-18 23:00:42,overcast clouds
228,Amapá,1.0,-52.0,295.18,99,100,1.13,BR,2022-03-18 23:00:43,moderate rain
229,Laas,46.6166,10.7002,279.27,97,99,1.34,IT,2022-03-18 23:00:44,overcast clouds
230,Daru,-9.0763,143.2092,300.4,86,88,2.4,PG,2022-03-18 23:00:44,overcast clouds
231,San Ignacio,17.1561,-89.0714,304.53,54,3,4.48,BZ,2022-03-18 23:00:45,clear sky
232,Machico,32.7,-16.7667,289.29,76,40,2.57,PT,2022-03-18 23:00:45,scattered clouds
233,Atambua,-9.1061,124.8925,297.92,84,100,0.64,ID,2022-03-18 23:00:46,overcast clouds
234,Westport,41.1415,-73.3579,292.66,66,46,1.34,US,2022-03-18 23:00:20,scattered clouds
235,Manado,1.487,124.8455,297.58,100,40,0.51,ID,2022-03-18 23:00:47,light rain
236,Hong Kong,22.2855,114.1577,297.69,88,93,4.92,HK,2022-03-18 22:57:50,overcast clouds
237,Puerto del Rosario,28.5004,-13.8627,290.01,72,20,5.14,ES,2022-03-18 23:00:48,few clouds
238,Northam,51.0333,-4.2167,282.93,69,1,7.91,GB,2022-03-18 23:00:49,clear sky
239,Port Keats,-14.25,129.55,299.39,84,97,4.8,AU,2022-03-18 23:00:49,overcast clouds
240,Khatanga,71.9667,102.5,267.97,95,100,4.69,RU,2022-03-18 23:00:50,light snow
241,Lata,40.1629,-8.3327,284.86,74,7,2.44,PT,2022-03-18 23:00:51,clear sky
242,Chamba,32.5667,76.1333,291.68,46,0,4.35,IN,2022-03-18 23:00:51,clear sky
243,Phayakkhaphum Phisai,15.5163,103.1937,297.82,77,87,1.29,TH,2022-03-18 23:00:52,light rain
244,Isangel,-19.55,169.2667,301.88,72,100,1.41,VU,2022-03-18 23:00:53,overcast clouds
245,Ṭikāpur,28.5,81.1333,295.65,46,53,2.36,NP,2022-03-18 23:00:54,broken clouds
246,Erdenet,49.0333,104.0833,260.67,78,100,1.97,MN,2022-03-18 23:00:54,overcast clouds
247,Bilibino,68.0546,166.4372,252.62,73,14,1.12,RU,2022-03-18 22:58:51,few clouds
248,Labuhan,-6.8844,112.2051,299.43,84,99,2.83,ID,2022-03-18 23:00:55,overcast clouds
249,Camocim,-2.9022,-40.8411,298.47,88,37,4.48,BR,2022-03-18 23:00:56,scattered clouds
250,Marsh Harbour,26.5412,-77.0636,298.18,80,2,5.31,BS,2022-03-18 23:00:56,clear sky
251,Skerries,53.5828,-6.1083,280.93,93,5,5.08,IE,2022-03-18 23:00:57,clear sky
